zip code,county name,state,branch
82051,Albany County,Wyoming,"Rapid City, South Dakota"
82052,Albany County,Wyoming,"Rapid City, South Dakota"
82055,Albany County,Wyoming,"Rapid City, South Dakota"
82058,Albany County,Wyoming,"Rapid City, South Dakota"
82063,Albany County,Wyoming,"Rapid City, South Dakota"
82070,Albany County,Wyoming,"Rapid City, South Dakota"
82071,Albany County,Wyoming,"Rapid City, South Dakota"
82072,Albany County,Wyoming,"Rapid City, South Dakota"
82073,Albany County,Wyoming,"Rapid City, South Dakota"
82083,Albany County,Wyoming,"Rapid City, South Dakota"
82084,Albany County,Wyoming,"Rapid City, South Dakota"
82410,Big Horn County,Wyoming,"Rapid City, South Dakota"
82411,Big Horn County,Wyoming,"Rapid City, South Dakota"
82412,Big Horn County,Wyoming,"Rapid City, South Dakota"
82420,Big Horn County,Wyoming,"Rapid City, South Dakota"
82421,Big Horn County,Wyoming,"Rapid City, South Dakota"
82422,Big Horn County,Wyoming,"Rapid City, South Dakota"
82423,Big Horn County,Wyoming,"Rapid City, South Dakota"
82426,Big Horn County,Wyoming,"Rapid City, South Dakota"
82428,Big Horn County,Wyoming,"Rapid City, South Dakota"
82431,Big Horn County,Wyoming,"Rapid City, South Dakota"
82432,Big Horn County,Wyoming,"Rapid City, South Dakota"
82434,Big Horn County,Wyoming,"Rapid City, South Dakota"
82441,Big Horn County,Wyoming,"Rapid City, South Dakota"
82716,Campbell County,Wyoming,"Rapid City, South Dakota"
82717,Campbell County,Wyoming,"Rapid City, South Dakota"
82718,Campbell County,Wyoming,"Rapid City, South Dakota"
82725,Campbell County,Wyoming,"Rapid City, South Dakota"
82727,Campbell County,Wyoming,"Rapid City, South Dakota"
82731,Campbell County,Wyoming,"Rapid City, South Dakota"
82732,Campbell County,Wyoming,"Rapid City, South Dakota"
82301,Carbon County,Wyoming,"Rapid City, South Dakota"
82321,Carbon County,Wyoming,"Rapid City, South Dakota"
82323,Carbon County,Wyoming,"Rapid City, South Dakota"
82324,Carbon County,Wyoming,"Rapid City, South Dakota"
82325,Carbon County,Wyoming,"Rapid City, South Dakota"
82327,Carbon County,Wyoming,"Rapid City, South Dakota"
82329,Carbon County,Wyoming,"Rapid City, South Dakota"
82331,Carbon County,Wyoming,"Rapid City, South Dakota"
82332,Carbon County,Wyoming,"Rapid City, South Dakota"
82334,Carbon County,Wyoming,"Rapid City, South Dakota"
82335,Carbon County,Wyoming,"Rapid City, South Dakota"
82615,Carbon County,Wyoming,"Rapid City, South Dakota"
82224,Converse County,Wyoming,"Rapid City, South Dakota"
82229,Converse County,Wyoming,"Rapid City, South Dakota"
82633,Converse County,Wyoming,"Rapid City, South Dakota"
82637,Converse County,Wyoming,"Rapid City, South Dakota"
82710,Crook County,Wyoming,"Rapid City, South Dakota"
82711,Crook County,Wyoming,"Rapid City, South Dakota"
82712,Crook County,Wyoming,"Rapid City, South Dakota"
82714,Crook County,Wyoming,"Rapid City, South Dakota"
82720,Crook County,Wyoming,"Rapid City, South Dakota"
82721,Crook County,Wyoming,"Rapid City, South Dakota"
82729,Crook County,Wyoming,"Rapid City, South Dakota"
82310,Fremont County,Wyoming,"Rapid City, South Dakota"
82501,Fremont County,Wyoming,"Rapid City, South Dakota"
82510,Fremont County,Wyoming,"Rapid City, South Dakota"
82512,Fremont County,Wyoming,"Rapid City, South Dakota"
82513,Fremont County,Wyoming,"Rapid City, South Dakota"
82514,Fremont County,Wyoming,"Rapid City, South Dakota"
82515,Fremont County,Wyoming,"Rapid City, South Dakota"
82516,Fremont County,Wyoming,"Rapid City, South Dakota"
82520,Fremont County,Wyoming,"Rapid City, South Dakota"
82523,Fremont County,Wyoming,"Rapid City, South Dakota"
82524,Fremont County,Wyoming,"Rapid City, South Dakota"
82642,Fremont County,Wyoming,"Rapid City, South Dakota"
82649,Fremont County,Wyoming,"Rapid City, South Dakota"
82212,Goshen County,Wyoming,"Rapid City, South Dakota"
82217,Goshen County,Wyoming,"Rapid City, South Dakota"
82218,Goshen County,Wyoming,"Rapid City, South Dakota"
82219,Goshen County,Wyoming,"Rapid City, South Dakota"
82221,Goshen County,Wyoming,"Rapid City, South Dakota"
82223,Goshen County,Wyoming,"Rapid City, South Dakota"
82240,Goshen County,Wyoming,"Rapid City, South Dakota"
82243,Goshen County,Wyoming,"Rapid City, South Dakota"
82244,Goshen County,Wyoming,"Rapid City, South Dakota"
82430,Hot Springs County,Wyoming,"Rapid City, South Dakota"
82443,Hot Springs County,Wyoming,"Rapid City, South Dakota"
82639,Johnson County,Wyoming,"Rapid City, South Dakota"
82640,Johnson County,Wyoming,"Rapid City, South Dakota"
82834,Johnson County,Wyoming,"Rapid City, South Dakota"
82840,Johnson County,Wyoming,"Rapid City, South Dakota"
82001,Laramie County,Wyoming,"Rapid City, South Dakota"
82002,Laramie County,Wyoming,"Rapid City, South Dakota"
82003,Laramie County,Wyoming,"Rapid City, South Dakota"
82005,Laramie County,Wyoming,"Rapid City, South Dakota"
82006,Laramie County,Wyoming,"Rapid City, South Dakota"
82007,Laramie County,Wyoming,"Rapid City, South Dakota"
82008,Laramie County,Wyoming,"Rapid City, South Dakota"
